Style Pair,Style 1,Style 2,Style 1 Weight,Style 2 Weight,SSIM vs Content,Image Path
monet3 + vangogh1,monet3,vangogh1,0.2,0.8,0.5356132388114929,outputs\blended_monet3_vangogh1_20_80.jpg
monet3 + vangogh1,monet3,vangogh1,0.3,0.7,0.5395703315734863,outputs\blended_monet3_vangogh1_30_70.jpg
monet3 + vangogh1,monet3,vangogh1,0.5,0.5,0.5432537198066711,outputs\blended_monet3_vangogh1_50_50.jpg
monet3 + vangogh1,monet3,vangogh1,0.7,0.3,0.5456227660179138,outputs\blended_monet3_vangogh1_70_30.jpg
monet3 + vangogh1,monet3,vangogh1,0.8,0.2,0.5500087141990662,outputs\blended_monet3_vangogh1_80_20.jpg
monet3 + vangogh2,monet3,vangogh2,0.2,0.8,0.5292875170707703,outputs\blended_monet3_vangogh2_20_80.jpg
monet3 + vangogh2,monet3,vangogh2,0.3,0.7,0.5365591645240784,outputs\blended_monet3_vangogh2_30_70.jpg
monet3 + vangogh2,monet3,vangogh2,0.5,0.5,0.5469267964363098,outputs\blended_monet3_vangogh2_50_50.jpg
monet3 + vangogh2,monet3,vangogh2,0.7,0.3,0.5532785058021545,outputs\blended_monet3_vangogh2_70_30.jpg
monet3 + vangogh2,monet3,vangogh2,0.8,0.2,0.554182767868042,outputs\blended_monet3_vangogh2_80_20.jpg
monet3 + vangogh3,monet3,vangogh3,0.2,0.8,0.5359593033790588,outputs\blended_monet3_vangogh3_20_80.jpg
monet3 + vangogh3,monet3,vangogh3,0.3,0.7,0.5392332673072815,outputs\blended_monet3_vangogh3_30_70.jpg
monet3 + vangogh3,monet3,vangogh3,0.5,0.5,0.5451418161392212,outputs\blended_monet3_vangogh3_50_50.jpg
monet3 + vangogh3,monet3,vangogh3,0.7,0.3,0.5486264824867249,outputs\blended_monet3_vangogh3_70_30.jpg
monet3 + vangogh3,monet3,vangogh3,0.8,0.2,0.5500035881996155,outputs\blended_monet3_vangogh3_80_20.jpg
vangogh1 + vangogh2,vangogh1,vangogh2,0.2,0.8,0.5215665698051453,outputs\blended_vangogh1_vangogh2_20_80.jpg
vangogh1 + vangogh2,vangogh1,vangogh2,0.3,0.7,0.5248464345932007,outputs\blended_vangogh1_vangogh2_30_70.jpg
vangogh1 + vangogh2,vangogh1,vangogh2,0.5,0.5,0.5301509499549866,outputs\blended_vangogh1_vangogh2_50_50.jpg
vangogh1 + vangogh2,vangogh1,vangogh2,0.7,0.3,0.5327476859092712,outputs\blended_vangogh1_vangogh2_70_30.jpg
vangogh1 + vangogh2,vangogh1,vangogh2,0.8,0.2,0.5341861844062805,outputs\blended_vangogh1_vangogh2_80_20.jpg
vangogh1 + vangogh3,vangogh1,vangogh3,0.2,0.8,0.5336102843284607,outputs\blended_vangogh1_vangogh3_20_80.jpg
vangogh1 + vangogh3,vangogh1,vangogh3,0.3,0.7,0.5381060838699341,outputs\blended_vangogh1_vangogh3_30_70.jpg
vangogh1 + vangogh3,vangogh1,vangogh3,0.5,0.5,0.5410782694816589,outputs\blended_vangogh1_vangogh3_50_50.jpg
vangogh1 + vangogh3,vangogh1,vangogh3,0.7,0.3,0.5400814414024353,outputs\blended_vangogh1_vangogh3_70_30.jpg
vangogh1 + vangogh3,vangogh1,vangogh3,0.8,0.2,0.5371316075325012,outputs\blended_vangogh1_vangogh3_80_20.jpg
vangogh2 + vangogh3,vangogh2,vangogh3,0.2,0.8,0.5336381196975708,outputs\blended_vangogh2_vangogh3_20_80.jpg
vangogh2 + vangogh3,vangogh2,vangogh3,0.3,0.7,0.5347387790679932,outputs\blended_vangogh2_vangogh3_30_70.jpg
vangogh2 + vangogh3,vangogh2,vangogh3,0.5,0.5,0.5327714085578918,outputs\blended_vangogh2_vangogh3_50_50.jpg
vangogh2 + vangogh3,vangogh2,vangogh3,0.7,0.3,0.5282344222068787,outputs\blended_vangogh2_vangogh3_70_30.jpg
vangogh2 + vangogh3,vangogh2,vangogh3,0.8,0.2,0.5237735509872437,outputs\blended_vangogh2_vangogh3_80_20.jpg
